Date,Open,High,Low,Close,Volume,Market Cap
Jan-16-2022,3331.3751929371515,3378.9543,3292.9095,3354.693114781434,12274577792,397500373926.8478
Jan-15-2022,3312.161662827348,3367.666119645886,3280.944129660557,3331.8342671135447,15214683509.333334,396645693303.3561
Jan-14-2022,3245.7687,3334.329197144645,3202.7613,3314.714161542115,19039040515.555557,390370373247.9108
Jan-13-2022,3373.8813,3409.0415714044507,3248.2023992831546,3256.1415,22032964476.444443,396581487216.72736
Jan-12-2022,3239.9182,3409.9251,3215.343755391536,3374.3038,22110662012.444443,393437328160.1887
Jan-11-2022,3087.9618,3258.216493812775,3063.2179133422387,3238.0088,25028994711.63763,375498413358.39484
Jan-10-2022,3159.754600522976,3188.1384,2956.975722615866,3085.3671,23895435747.555557,370221733938.7537
Jan-09-2022,3096.0077304568285,3215.3340310306576,3081.716363446548,3164.409305068424,25730508117.333332,374386539808.865
Jan-08-2022,3201.9761,3246.629484450562,3023.8653,3099.6255005366006,29076178126.22222,378092197372.5927
Jan-07-2022,3418.008117890768,3419.455029922317,3117.95117495753,3197.2259,31764463352.88889,385410870936.85516
Jan-06-2022,3554.2026,3554.4911,3323.8636,3419.993783293521,33165849173.333332,409263796091.32104
Jan-05-2022,3796.654582017801,3849.9841,3454.7647,3563.1909,22750588508.444443,448668527035.3266
Jan-04-2022,3771.4726,3888.9321413873754,3731.840156498289,3797.755381997401,21877374442.666668,452461871672.89465
Jan-03-2022,3838.5395,3847.9775,3701.319266438544,3770.2317,16383773891.555555,452052040715.2713
Jan-02-2022,3777.2303,3850.0803,3738.1076,3839.8139,12081725038.222221,449902546900.96594
Jan-01-2022,3685.986363216292,3785.0750671340993,3685.986363216292,3773.5834,15838957063.11111,445142658771.2209
Dec-31-2021,3721.8755,3821.7261,3644.5903673246166,3691.611156368285,16844827160.88889,446016606895.1422
Dec-30-2021,3640.3732609483295,3774.378773601587,3620.6228049524343,3724.1063,23603716035.555557,441901636086.4255
Dec-29-2021,3808.7489,3836.195188878529,3634.019302788115,3639.101875632903,20503962392.88889,450262973409.69366
Dec-28-2021,4044.256507503601,4044.256507503601,3788.353454021501,3814.2797,19605723971.555557,464303561207.7908
Dec-27-2021,4071.6423791295615,4128.6383,4042.1039,4044.835105740426,14068084000,485130867631.5859
Dec-26-2021,4099.685281661994,4105.3506,4020.0622,4076.411441991241,14905552739.555555,482835685601.648
Dec-25-2021,4049.1365,4134.1729,4039.6481,4109.646471445121,15636280544,484025892661.45337
Dec-24-2021,4112.805044642448,4134.710727099428,4042.036939082792,4048.6063,21211889521.77778,486787818660.1765
Dec-23-2021,3984.6046,4149.494505795375,3908.535862200113,4110.144167730176,22592386496,474713740885.261
Dec-22-2021,4023.0643,4071.3591460747584,3953.199199712144,3988.063927072029,20454123953.77778,477606869300.333
Dec-21-2021,3939.558288844281,4057.832067866085,3922.349319818159,4027.1658,28618196096,475804903326.7503
Dec-20-2021,3927.1166289944567,3971.772178490128,3774.4116705855454,3936.136323767621,26250691868.444443,458973596640.2926
Dec-19-2021,3963.925808162224,4018.2439,3899.8359342966382,3924.8675,23808039570.797203,468957394085.8634
Dec-18-2021,3880.897521222242,3987.5375,3784.485102942421,3961.200250995882,38068638994.02817,465802251071.4703
Dec-17-2021,3965.1851,3992.7539,3723.238267408882,3889.8186984670992,34426731072,462347587408.37726
Dec-16-2021,4019.2212,4104.889911214258,3968.8079,3973.235,38004166243.55556,479369223916.66815
Dec-15-2021,3867.637876790931,4079.183914444722,3681.0649,4012.8137,30124147328,459419803027.25653
Dec-14-2021,3792.8126,3880.333305460678,3704.8133,3867.817310165112,35363992001.560974,451420262693.7315
Dec-13-2021,4138.943628401802,4143.792754466247,3694.3441,3793.5513,28397948935.236748,467182948163.7135
Dec-12-2021,4085.7292651233774,4175.858550347876,4005.647432741752,4140.566284343947,31766340003.555557,483666765652.28796
Dec-11-2021,3910.7981,4095.695081544233,3859.8901,4091.655288045867,47587895793.77778,477743280662.72974
Dec-10-2021,4129.372570297307,4219.469858617035,3918.3373,3918.3373,47781683513.979095,484912277876.62604
Dec-09-2021,4439.345953865967,4473.078773812109,4090.570449073211,4153.46424386153,45092418503.111115,508923356862.2733
Dec-08-2021,4310.244505449821,4450.6467819054415,4240.4096,4436.876579188187,43043314076.44444,517097885881.38184
Dec-07-2021,4358.190657733947,4422.8824,4273.3958,4306.102212618619,53119410176,516486410496.328
Dec-06-2021,4200.7952,4364.452882372813,3953.6514,4348.484879257936,52471101454.22222,490986560423.0954
Dec-05-2021,4120.112138724015,4243.921291463281,4054.031,4192.6384,45377214535.111115,493922850663.4619
Dec-04-2021,4229.8035,4238.4659,3642.6823,4097.563825071206,66819603939.55556,477093961474.7836
Dec-03-2021,4522.420617559839,4643.006075327383,4126.377116854704,4248.6659,35657670385.77778,529960591517.77026
Dec-02-2021,4590.6256,4624.227941198096,4458.616999837173,4520.32557689881,39617597980.44444,538745993422.54156
Dec-01-2021,4637.115750576484,4769.294091530394,4543.111175442001,4586.9631,53583852202.666664,556435612197.6102
Nov-30-2021,4448.375062921311,4721.5876,4363.3249,4641.645683920893,44349213511.111115,538577176957.6536
Nov-29-2021,4298.531080015639,4460.0291,4297.3593,4452.2641317013695,41952501048.888885,517299622320.9707
Nov-28-2021,4099.295458301602,4300.929187517085,4007.493924007929,4300.929187517085,35456327388.44444,485625557108.40845
Nov-27-2021,4042.2979633897216,4184.982233264034,4042.2979633897216,4082.366357992869,45184787050.666664,489113105108.65125
Nov-26-2021,4524.3324603908,4544.8713514456485,3946.249773969944,4048.131895970803,49447816746.666664,498984137167.2645
Nov-25-2021,4276.9243,4550.477718779292,4263.4167,4525.307417931792,35422437674.666664,521717529111.2017
Nov-24-2021,4345.398588245484,4373.9907,4186.995669721616,4267.1911,32144551872,505994321914.97626
Nov-23-2021,4098.833945538736,4387.332044193312,4077.5573,4355.124816760217,33298571313.77778,500449652670.4553
Nov-22-2021,4280.02788794463,4300.1512,4050.1939657032303,4105.1047,25889685009.9021,496114950103.46954
Nov-21-2021,4417.183082491513,4418.946412151297,4284.636769940774,4284.636769940774,20657591516.444443,516625645121.83374
Nov-20-2021,4300.9138805132,4436.529986422346,4227.782144520988,4422.128531286758,23245987662.22222,511810301053.68585
Nov-19-2021,4006.8030964585473,4307.1171,3998.3392,4294.152739005697,34323611555.555557,493348196002.005
Nov-18-2021,4291.5766,4343.115519984542,3973.6198,3995.3938,28548142542.22222,494855807713.33203
Nov-17-2021,4222.0718618430365,4292.0509,4106.563,4292.0509,34832910080,498078106078.68195
Nov-16-2021,4571.8677,4571.8677,4155.1316,4230.1812,38229605532.44444,510419922979.23047
Nov-15-2021,4634.113550400038,4770.282399667801,4555.681321864844,4575.842252768675,22289251496.27972,552895704459.3907
Nov-14-2021,4655.0937,4694.537514126889,4528.2011,4630.758968435111,17833173630.66202,545527382975.6899
Nov-13-2021,4677.051356781548,4704.316891203014,4597.248848921077,4658.156012516753,23889874876.20906,550282310477.0747
Nov-12-2021,4727.829420845446,4808.224,4529.32462586912,4677.705311073397,26261109916.444443,553461443381.2195
Nov-11-2021,4642.050923695175,4778.072303116837,4593.539136197657,4727.230918092841,35289895544.888885,556372385531.8075
Nov-10-2021,4739.446434240457,4867.173594094124,4548.1943,4637.645275427002,26262380366.22222,560685844087.3088
Nov-09-2021,4817.782386770097,4834.0028433064645,4727.7406,4736.7254,26270877096.585365,566926305532.6239
Nov-08-2021,4623.573969282661,4822.4666,4623.573969282661,4819.161293786869,24100025956.251747,561271186532.1271
Nov-07-2021,4521.470283637077,4638.961643167891,4514.492302576885,4619.167746375777,20506340693.333332,542340698434.5021
Nov-06-2021,4485.262593732431,4527.731,4349.2654,4515.412838669978,20576344970.666668,527839633171.4392
Nov-05-2021,4537.561460653615,4564.366712831694,4460.013326986349,4488.1321804851,24256463402.666668,533047984675.7006
Nov-04-2021,4603.645402494889,4603.645402494889,4433.68597749977,4535.317603043713,28082568959.108013,535413683577.02747
Nov-03-2021,4585.911150493974,4653.128730779269,4475.246964826769,4605.6244271349615,29633102307.555557,541078964139.7789
Nov-02-2021,4330.602975734566,4598.079618776445,4300.05164906807,4592.980814032476,25026544957.54704,523940744210.3162
